Price,Close,High,Low,Open,Volume
Ticker,^CNX100,^CNX100,^CNX100,^CNX100,^CNX100
Date,,,,,
2022-01-03,17874.0,17894.150390625,17651.44921875,17654.44921875,5756800
2022-01-04,18030.94921875,18051.5,17831.5,17934.5,6744900
2022-01-05,18147.5,18164.69921875,17974.900390625,18044.30078125,7898200
2022-01-06,17985.599609375,18025.25,17889.75,17997.599609375,5508600
2022-01-07,18053.94921875,18140.849609375,17944.400390625,18035.69921875,5914700
2022-01-10,18229.099609375,18243.25,18109.75,18146.19921875,5439200
2022-01-11,18275.150390625,18295.0,18181.400390625,18225.69921875,5699300
2022-01-12,18430.25,18443.80078125,18346.94921875,18390.849609375,4923200
2022-01-13,18482.44921875,18495.650390625,18385.0,18478.55078125,6431400
2022-01-14,18485.69921875,18515.099609375,18348.400390625,18411.19921875,4547700
2022-01-17,18543.19921875,18553.400390625,18456.55078125,18471.599609375,4807400
2022-01-18,18331.69921875,18595.150390625,18302.94921875,18577.69921875,5428000
2022-01-19,18179.69921875,18349.55078125,18114.849609375,18349.55078125,6232600
2022-01-20,18021.099609375,18187.599609375,17915.75,18168.25,5146400
2022-01-21,17856.150390625,17953.599609375,17721.30078125,17882.349609375,5843100
2022-01-24,17353.44921875,17841.400390625,17197.0,17821.55078125,8240800
2022-01-25,17489.150390625,17519.599609375,17030.44921875,17200.400390625,6971900
2022-01-27,17302.349609375,17376.849609375,17069.75,17281.69921875,8709300
2022-01-28,17314.69921875,17587.599609375,17289.19921875,17405.55078125,7530700
2022-01-31,17547.400390625,17623.25,17479.650390625,17516.900390625,6439300
2022-02-01,17796.25,17826.150390625,17464.25,17731.55078125,8511600
2022-02-02,17998.75,18012.25,17889.150390625,17920.05078125,6543400
2022-02-03,17794.69921875,17996.30078125,17749.400390625,17985.099609375,5829000
2022-02-04,17755.30078125,17858.19921875,17701.19921875,17826.25,6255600
2022-02-07,17477.650390625,17791.69921875,17382.80078125,17710.05078125,7923900
2022-02-08,17509.80078125,17572.69921875,17298.349609375,17543.19921875,7613800
2022-02-09,17707.849609375,17720.900390625,17583.0,17612.55078125,5462500
2022-02-10,17842.900390625,17869.099609375,17665.69921875,17794.0,6230700
